Index	Lat			Lon			Icon	Name	Description	Notes	URL	Link Text	Altitude (m)	Distance (km)	Speed (m/s)	Course (°)	Time	HDOP	VDOP	PDOP	Satellites	Fix
0	49.489297	N	49° 29.357800' N	15.920127	E	15° 55.207600' E					""		559.300000	0.000000	2.765833	205.229996	44297.541644	0.730000	0.940000	1.190000	15	dgps
1	49.489272	N	49° 29.356300' N	15.920112	E	15° 55.206700' E					""		559.300000	0.002987	2.753333	205.020004	44297.541655	0.730000	0.940000	1.190000	15	dgps
2	49.489245	N	49° 29.354700' N	15.920095	E	15° 55.205700' E					""		559.700000	0.006191	2.981389	202.990005	44297.541667	0.730000	0.940000	1.190000	15	dgps
3	49.489220	N	49° 29.353200' N	15.920078	E	15° 55.204700' E					""		559.800000	0.009223	3.000000	204.210007	44297.541678	0.730000	0.940000	1.190000	15	dgps
4	49.489193	N	49° 29.351600' N	15.920057	E	15° 55.203400' E					""		560.000000	0.012580	3.082500	206.589996	44297.541690	0.780000	0.940000	1.220000	14	dgps
5	49.489167	N	49° 29.350000' N	15.920037	E	15° 55.202200' E					""		560.100000	0.015882	3.063056	203.899994	44297.541701	0.780000	0.940000	1.220000	14	dgps
6	49.489142	N	49° 29.348500' N	15.920018	E	15° 55.201100' E					""		560.100000	0.018965	2.836944	202.369995	44297.541713	0.780000	0.940000	1.220000	14	dgps
7	49.489117	N	49° 29.347000' N	15.920003	E	15° 55.200200' E					""		560.200000	0.021952	3.014444	203.740005	44297.541725	0.780000	0.940000	1.220000	14	dgps
8	49.489092	N	49° 29.345500' N	15.919983	E	15° 55.199000' E					""		560.300000	0.025088	3.225278	206.369995	44297.541736	0.780000	0.940000	1.220000	14	dgps
9	49.489065	N	49° 29.343900' N	15.919965	E	15° 55.197900' E					""		560.400000	0.028339	3.112778	205.820007	44297.541748	0.780000	0.940000	1.220000	14	dgps
10	49.489040	N	49° 29.342400' N	15.919947	E	15° 55.196800' E					""		560.600000	0.031422	2.993611	204.520004	44297.541759	0.780000	0.940000	1.220000	14	dgps
11	49.489015	N	49° 29.340900' N	15.919930	E	15° 55.195800' E					""		560.700000	0.034455	3.031945	203.039993	44297.541771	0.780000	0.940000	1.220000	14	dgps
12	49.488988	N	49° 29.339300' N	15.919912	E	15° 55.194700' E					""		561.000000	0.037706	3.265833	203.929993	44297.541782	0.730000	0.940000	1.190000	15	dgps
13	49.488962	N	49° 29.337700' N	15.919893	E	15° 55.193600' E					""		561.100000	0.040957	3.257222	204.440002	44297.541794	0.730000	0.940000	1.190000	15	dgps
14	49.488937	N	49° 29.336200' N	15.919873	E	15° 55.192400' E					""		561.100000	0.044093	3.126111	207.000000	44297.541806	0.730000	0.940000	1.190000	15	dgps
15	49.488912	N	49° 29.334700' N	15.919853	E	15° 55.191200' E					""		561.100000	0.047229	3.153889	205.190002	44297.541817	0.730000	0.940000	1.190000	15	dgps
16	49.488883	N	49° 29.333000' N	15.919835	E	15° 55.190100' E					""		561.100000	0.050651	3.514722	201.630005	44297.541829	0.730000	0.940000	1.190000	15	dgps
17	49.488855	N	49° 29.331300' N	15.919818	E	15° 55.189100' E					""		561.200000	0.054027	3.477778	201.490005	44297.541840	0.730000	0.940000	1.190000	15	dgps
18	49.488827	N	49° 29.329600' N	15.919800	E	15° 55.188000' E					""		561.200000	0.057449	3.196667	203.419998	44297.541852	0.730000	0.940000	1.190000	15	dgps
19	49.488798	N	49° 29.327900' N	15.919782	E	15° 55.186900' E					""		561.300000	0.060870	3.556389	206.080002	44297.541863	0.730000	0.940000	1.190000	15	dgps
20	49.488768	N	49° 29.326100' N	15.919760	E	15° 55.185600' E					""		561.400000	0.064559	3.801667	206.139999	44297.541875	0.730000	0.940000	1.190000	15	dgps
21	49.488738	N	49° 29.324300' N	15.919738	E	15° 55.184300' E					""		561.500000	0.068248	3.514444	205.729996	44297.541887	0.730000	0.940000	1.190000	15	dgps
22	49.488710	N	49° 29.322600' N	15.919717	E	15° 55.183000' E					""		561.600000	0.071769	3.830000	203.220001	44297.541898	0.730000	0.940000	1.190000	15	dgps
23	49.488678	N	49° 29.320700' N	15.919697	E	15° 55.181800' E					""		561.700000	0.075580	3.485278	204.910004	44297.541910	0.730000	0.940000	1.190000	15	dgps
24	49.488648	N	49° 29.318900' N	15.919675	E	15° 55.180500' E					""		561.800000	0.079269	3.636111	203.500000	44297.541921	0.730000	0.940000	1.190000	15	dgps
25	49.488618	N	49° 29.317100' N	15.919653	E	15° 55.179200' E					""		561.800000	0.082957	3.625278	205.639999	44297.541933	0.730000	0.940000	1.190000	15	dgps
26	49.488587	N	49° 29.315200' N	15.919633	E	15° 55.178000' E					""		561.900000	0.086768	3.637778	203.289993	44297.541944	0.730000	0.940000	1.190000	15	dgps
