Index	Lat			Lon			Icon	Name	Description	Notes	URL	Link Text	Altitude (m)	Distance (km)	Speed (m/s)	Course (°)	Time	HDOP	VDOP	PDOP	Satellites	Fix
0	50.104427	N	50° 6.265600' N	14.395272	E	14° 23.716300' E					""		454.000000	0.000000	0.083333	46.500000	38814.262419	2.900000	1.000000	3.100000	3	2d
1	50.104432	N	50° 6.265900' N	14.395258	E	14° 23.715500' E					""		453.900000	0.001103	0.083333	47.110001	38814.262431	3.000000	1.000000	3.100000	3	2d
2	50.104435	N	50° 6.266100' N	14.395245	E	14° 23.714700' E					""		453.800000	0.002125	0.083333	47.419998	38814.262442	3.000000	1.000000	3.100000	3	2d
3	50.104440	N	50° 6.266400' N	14.395232	E	14° 23.713900' E					""		453.700000	0.003227	0.083333	48.009998	38814.262454	3.000000	1.000000	3.100000	3	2d
4	50.104443	N	50° 6.266600' N	14.395215	E	14° 23.712900' E					""		453.600000	0.004474	0.111111	49.160000	38814.262465	3.000000	1.000000	3.100000	3	2d
5	50.104448	N	50° 6.266900' N	14.395202	E	14° 23.712100' E					""		453.600000	0.005577	0.138889	50.299999	38814.262477	3.000000	1.000000	3.100000	3	2d
6	50.104452	N	50° 6.267100' N	14.395188	E	14° 23.711300' E					""		453.600000	0.006598	0.111111	51.150002	38814.262488	3.000000	1.000000	3.100000	3	2d
7	50.104455	N	50° 6.267300' N	14.395175	E	14° 23.710500' E					""		453.600000	0.007620	1.111111	35.400002	38814.262500	3.000000	1.000000	3.100000	3	2d
8	50.104458	N	50° 6.267500' N	14.395167	E	14° 23.710000' E					""		453.700000	0.008321	2.722222	283.149994	38814.262512	3.000000	1.000000	3.100000	3	2d
9	50.104463	N	50° 6.267800' N	14.395140	E	14° 23.708400' E					""		453.900000	0.010305	3.444444	282.890015	38814.262523	3.000000	1.000000	3.100000	3	2d
10	50.104470	N	50° 6.268200' N	14.395097	E	14° 23.705800' E					""		454.000000	0.013487	2.972222	283.309998	38814.262535	3.000000	1.000000	3.100000	3	2d
11	50.104477	N	50° 6.268600' N	14.395052	E	14° 23.703100' E					""		454.000000	0.016784	2.555556	283.779999	38814.262546	3.000000	1.000000	3.100000	3	2d
12	50.104485	N	50° 6.269100' N	14.395003	E	14° 23.700200' E					""		454.100000	0.020358	2.222222	283.489990	38814.262558	3.000000	1.000000	3.100000	3	2d
13	50.104493	N	50° 6.269600' N	14.394948	E	14° 23.696900' E					""		454.200000	0.024393	0.083333	162.110001	38814.262569	16.400000	14.200000	21.700001	3	2d
14	50.103142	N	50° 6.188500' N	14.393022	E	14° 23.581300' E					""		265.100000	0.228266	0.138889	166.399994	38814.264306	16.299999	14.100000	21.600000	4	3d
15	50.103137	N	50° 6.188200' N	14.393015	E	14° 23.580900' E					""		264.400000	0.228998	0.194444	170.550003	38814.264317	16.299999	14.100000	21.600000	4	3d
16	50.103132	N	50° 6.187900' N	14.393007	E	14° 23.580400' E					""		263.600000	0.229813	0.166667	174.149994	38814.264329	16.299999	14.100000	21.600000	4	3d
17	50.103127	N	50° 6.187600' N	14.392998	E	14° 23.579900' E					""		262.800000	0.230628	0.111111	177.839996	38814.264340	16.299999	14.100000	21.600000	4	3d
18	50.103122	N	50° 6.187300' N	14.392992	E	14° 23.579500' E					""		262.000000	0.231360	0.361111	181.229996	38814.264352	16.299999	14.100000	21.500000	4	3d
19	50.103117	N	50° 6.187000' N	14.392980	E	14° 23.578800' E					""		261.200000	0.232362	0.361111	184.309998	38814.264363	16.299999	14.100000	21.500000	4	3d
20	50.103112	N	50° 6.186700' N	14.392968	E	14° 23.578100' E					""		260.200000	0.233364	0.194444	186.919998	38814.264375	16.299999	14.100000	21.500000	4	3d
21	50.103105	N	50° 6.186300' N	14.392957	E	14° 23.577400' E					""		259.200000	0.234479	0.222222	189.509995	38814.264387	16.200001	14.000000	21.500000	4	3d
22	50.103102	N	50° 6.186100' N	14.392948	E	14° 23.576900' E					""		258.500000	0.235181	0.305556	192.199997	38814.264398	16.200001	14.000000	21.500000	4	3d
23	50.103097	N	50° 6.185800' N	14.392938	E	14° 23.576300' E					""		257.800000	0.236086	0.333333	194.740005	38814.264410	16.200001	14.000000	21.500000	4	3d
24	50.103092	N	50° 6.185500' N	14.392928	E	14° 23.575700' E					""		256.900000	0.236991	0.555556	197.300003	38814.264421	16.200001	14.000000	21.400000	4	3d
25	50.103085	N	50° 6.185100' N	14.392913	E	14° 23.574800' E					""		255.800000	0.238294	0.833333	199.639999	38814.264433	16.200001	14.000000	21.400000	4	3d
26	50.103078	N	50° 6.184700' N	14.392900	E	14° 23.574000' E					""		254.700000	0.239501	0.583333	201.500000	38814.264444	16.200001	14.000000	21.400000	4	3d
27	50.103072	N	50° 6.184300' N	14.392885	E	14° 23.573100' E					""		253.600000	0.240804	0.361111	203.139999	38814.264456	16.200001	14.000000	21.400000	4	3d
28	50.103067	N	50° 6.184000' N	14.392873	E	14° 23.572400' E					""		252.700000	0.241806	0.972222	205.139999	38814.264468	16.200001	13.900000	21.400000	4	3d
29	50.103058	N	50° 6.183500' N	14.392858	E	14° 23.571500' E					""		251.500000	0.243223	0.750000	206.699997	38814.264479	16.100000	13.900000	21.299999	4	3d
30	50.103050	N	50° 6.183000' N	14.392847	E	14° 23.570800' E					""		250.400000	0.244470	0.472222	207.919998	38814.264491	16.100000	13.900000	21.299999	4	3d
31	50.103040	N	50° 6.182400' N	14.392830	E	14° 23.569800' E					""		249.200000	0.246099	0.388889	209.210007	38814.264502	16.100000	13.900000	21.299999	4	3d
